Topic,Region,Country,Name,Year,TotPop1000,ToTArea,Incomes,Subregion,Domain,ITTO,COMIFAC,FOREUR,Montreal,UNECE,Forest,TSFor,TTFor,Forchange,ForPerc,PerCapFor,NatFor,Nfchange,OthWooLan,TSOthWooLan,TTOthWooLan,OthLan,LanTreCov,InWater,Landarea,ForExp,TSForExp,TTForExp, Afforest,NatForExp,Deforest,TSDeforest,TTDeforest,HumDef,Reforest,TSReforest,TTReforest,ArtRef,PrimFor,TSPrimFor,TTPrimFor,NatRegFor,TSNatRegFor,TTNatRegFor,IntroSpp,NatzedSpp,PlantFor,TSPlantFor,TTPlantFor,Pfchange,IntroSppPlant,Mangrove,TSMangrove,TTMangrove,PlantMan
1,NCA,ABW,Aruba,1990,62.148,18,H,Carib,Trp,no,no,no,no,no,0.42,1,1,,2.333333,0.006758,,,0,1,1,17.58,,0,18,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,0.42,1,1,
1,NCA,ABW,Aruba,2000,90.858,18,H,Carib,Trp,no,no,no,no,no,0.42,1,1,,2.333333,0.004623,,,0,1,1,17.58,,0,18,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,0.42,1,1,
1,NCA,ABW,Aruba,2005,100.031,18,H,Carib,Trp,no,no,no,no,no,0.42,1,1,,2.333333,0.004199,,,0,1,1,17.58,,0,18,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,0.42,1,1,
1,NCA,ABW,Aruba,2010,101.597,18,H,Carib,Trp,no,no,no,no,no,0.42,1,1,,2.333333,0.004134,,,0,1,1,17.58,,0,18,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,0.42,1,1,
1,NCA,ABW,Aruba,2015,109.2937403,18,H,Carib,Trp,no,no,no,no,no,0.42,1,1,,2.333333,0.003843,,,0,1,1,17.58,,0,18,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,0.42,1,1,
1,NCA,ABW,Aruba,9999,,,,Carib,Trp,no,no,no,no,no,0.42,1,1,,,,,,,1,1,,,,0,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,,1,1,
1,AS,AFG,Afghanistan,1990,11731.193,"65,223.00",L,WCAsia,SubTrp,no,no,no,no,no,1350,1,1,,3.776013,0.115078,1350,,29471,1,1,34402,,0,"65,223.00",,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,0,1,1,0
1,AS,AFG,Afghanistan,2000,20595.36,"65,223.00",L,WCAsia,SubTrp,no,no,no,no,no,1350,1,1,,3.776013,0.065549,1350,0,29471,1,1,34402,,0,"65,223.00",,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,0,1,1,0
1,AS,AFG,Afghanistan,2005,24860.855,"65,223.00",L,WCAsia,SubTrp,no,no,no,no,no,1350,1,1,,3.776013,0.054302,1350,0,29471,1,1,34402,,0,"65,223.00",,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,0,1,1,0
1,AS,AFG,Afghanistan,2010,28397.812,"65,223.00",L,WCAsia,SubTrp,no,no,no,no,no,1350,1,1,,3.776013,0.047539,1350,0,29471,1,1,34402,,0,"65,223.00",,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,0,1,1,0
1,AS,AFG,Afghanistan,2015,36722.84253,"65,223.00",L,WCAsia,SubTrp,no,no,no,no,no,1350,1,1,,3.776013,0.036762,1350,0,29471,1,1,34402,,0,"65,223.00",,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,0,1,1,0
1,AS,AFG,Afghanistan,9999,,,,WCAsia,SubTrp,no,no,no,no,no,1350,1,1,,,,,,,1,1,,,,0,,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,,1,1,
1,AFR,AGO,Angola,1990,10333.844,"124,670.00",UM,ESAfr,Trp,no,no,no,no,no,60976,1,1,,48.909922,5.900612,60836,,0,1,1,63694,,0,"124,670.00",,,,0,,,,,,,,,,0,1,1,60836,1,1,,,140,1,1,,,43.3,1,1,
1,AFR,AGO,Angola,2000,13924.93,"124,670.00",UM,ESAfr,Trp,no,no,no,no,no,59728,1,1,-1248,47.908879,4.289285,59594,-1242,0,1,1,64942,,0,"124,670.00",,,,0,,,,,,,,,0,0,1,1,59594,1,1,,,134,1,1,-6,,33.6,1,1,
1,AFR,AGO,Angola,2005,16544.376,"124,670.00",UM,ESAfr,Trp,no,no,no,no,no,59104,1,1,-624,47.408358,3.572453,58973,-621,0,1,1,65566,,0,"124,670.00",,,,0,,,,,,,,,0,0,1,1,58973,1,1,,,131,1,1,-3,,33,1,1,
1,AFR,AGO,Angola,2010,19549.124,"124,670.00",UM,ESAfr,Trp,no,no,no,no,no,58480,1,1,-624,46.907837,2.991438,58352,-621,0,1,1,66190,,0,"124,670.00",,,,0,,,,,,,,,,0,1,1,58352,1,1,,,128,1,1,-3,,32.4,1,1,
1,AFR,AGO,Angola,2015,21842.17292,"124,670.00",UM,ESAfr,Trp,no,no,no,no,no,57856,1,1,-624,46.407315,2.648821,57731,-621,0,1,1,66814,,0,"124,670.00",,,,,,,,,,,,,,0,1,1,57731,1,1,,,125,1,1,-3,,31.8,1,1,
1,AFR,AGO,Angola,9999,,,,ESAfr,Trp,no,no,no,no,no,57856,1,1,,,,,,,1,1,,,,0,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,,1,1,
1,NCA,AIA,Anguilla,1990,8.334,9,,Carib,Trp,no,no,no,no,no,5.5,1,1,,61.111111,0.659947,,,0,1,1,3.5,,0,9,,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,0.09,1,1,
1,NCA,AIA,Anguilla,2000,11.071,9,,Carib,Trp,no,no,no,no,no,5.5,1,1,,61.111111,0.496793,,,0,1,1,3.5,,0,9,,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,0.09,1,1,
1,NCA,AIA,Anguilla,2005,12.637,9,,Carib,Trp,no,no,no,no,no,5.5,1,1,,61.111111,0.43523,,,0,1,1,3.5,,0,9,,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,0.09,1,1,
1,NCA,AIA,Anguilla,2010,13.768,9,,Carib,Trp,no,no,no,no,no,5.5,1,1,,61.111111,0.399477,,,0,1,1,3.5,,0,9,,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,0.09,1,1,
1,NCA,AIA,Anguilla,2015,13.768,9,,Carib,Trp,no,no,no,no,no,5.5,1,1,,61.111111,0.399477,,,0,1,1,3.5,,0,9,,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,0.09,1,1,
1,NCA,AIA,Anguilla,9999,,,,Carib,Trp,no,no,no,no,no,5.5,1,1,,,,,,,1,1,,,,0,,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,,1,1,
1,EU,ALB,Albania,1990,3446.882,"2,874.80",UM,Europe,SubTrp,no,no,no,no,yes,788.8,1,1,,31.75779,0.228845,685.5,,256,1,1,1695,,135,"2,739.80",,1,1,,,,1,1,,2.89,1,1,2.89,84.8,1,1,600.7,1,1,0,,103.3,1,1,,13,0,1,1,0
1,EU,ALB,Albania,2000,3304.948,"2,875.30",UM,Europe,SubTrp,no,no,no,no,yes,769.3,1,1,,30.95401,0.232772,672.8,-12.7,255,1,1,1716,,135,"2,740.30",,1,1,,,,1,1,,0.09,1,1,0.09,84.8,1,1,588,1,1,0,,96.4,1,1,-6.9,4.9,0,1,1,0
1,EU,ALB,Albania,2005,3196.13,"2,875.40",UM,Europe,SubTrp,no,no,no,no,yes,782.4,1,1,,31.517886,0.244796,684.2,11.4,258,1,1,1700,,135,"2,740.40",,1,1,,,,1,1,,0.22,1,1,0.22,84.8,1,1,599.4,1,1,0,,98.2,1,1,1.8,5.5,0,1,1,0
1,EU,ALB,Albania,2010,3150.143,"2,875.00",UM,Europe,SubTrp,no,no,no,no,yes,776.3,1,1,,31.241951,0.246433,682.3,-1.9,255.2,1,1,1708.5,,135,"2,740.00",,1,1,,,,1,1,,,1,1,,84.8,1,1,597.5,1,1,0,,94,1,1,-4.2,7.4,0,1,1,0
1,EU,ALB,Albania,2015,3260.217906,"2,875.00",UM,Europe,SubTrp,no,no,no,no,yes,771.5,1,1,,31.061277,0.236641,681.5,-0.8,256.2,1,1,1712.3,,135,"2,740.00",,1,1,,,,1,1,,,1,1,,84.8,1,1,596.7,1,1,0,,90,1,1,-4,,0,1,1,0
1,EU,ALB,Albania,9999,,,,Europe,SubTrp,no,no,no,no,yes,771.5,1,1,,,,,,,1,1,,,,0,,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,,1,1,
1,EU,AND,Andorra,1990,54.511,47,H,Europe,Temp,no,no,no,no,yes,16,1,1,,34.042553,0.293519,,,0,1,1,31,,0,47,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,0,3,3,0
1,EU,AND,Andorra,2000,65.399,47,H,Europe,Temp,no,no,no,no,yes,16,1,1,,34.042553,0.244652,,,0,1,1,31,,0,47,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,0,3,3,0
1,EU,AND,Andorra,2005,81.223,47,H,Europe,Temp,no,no,no,no,yes,16,1,1,,34.042553,0.196989,,,0,1,1,31,,0,47,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,0,3,3,0
